,,0
no_Claims,no_Claims,1.0
pcg24,pcg24,1.0
sexMISS,sexMISS,1.0
ClaimsTruncated,ClaimsTruncated,1.0
DaysInHospital,DaysInHospital,1.0
age_0-9,age_0-9,1.0
age_10-19,age_10-19,1.0
age_20-29,age_20-29,1.0
age_30-39,age_30-39,1.0
age_40-49,age_40-49,1.0
age_50-59,age_50-59,1.0
age_60-69,age_60-69,1.0
age_70-79,age_70-79,1.0
age_80+,age_80+,1.0
age_MISS,age_MISS,1.0
age_MISS,AAFC_MISS,1.0
sexMALE,sexMALE,1.0
sexFEMALE,sexFEMALE,1.0
LOS_TOT_UNKNOWN_count,LOS_TOT_UNKNOWN_count,1.0
LOS_TOT_SUPRESSED_count,LOS_TOT_SUPRESSED_count,1.0
LOS_TOT_KNOWN_count,LOS_TOT_KNOWN_count,1.0
DSFS_sum,DSFS_sum,1.0
pcg9,pcg9,1.0
pcg10,pcg10,1.0
pcg11,pcg11,1.0
pcg12,pcg12,1.0
pcg13,pcg13,1.0
pcg14,pcg14,1.0
pcg15,pcg15,1.0
pcg16,pcg16,1.0
pcg17,pcg17,1.0
pcg18,pcg18,1.0
pcg19,pcg19,1.0
pcg20,pcg20,1.0
pcg21,pcg21,1.0
pcg22,pcg22,1.0
pcg23,pcg23,1.0
pcg8,pcg8,1.0
pcg7,pcg7,1.0
pcg6,pcg6,1.0
CharlsonIndex_min,CharlsonIndex_min,1.0
DSFS_max,DSFS_max,1.0
DSFS_min,DSFS_min,1.0
DSFS_mean,DSFS_mean,1.0
DSFS_range,DSFS_range,1.0
DSFS_std,DSFS_std,1.0
CharlsonIndex_max,CharlsonIndex_max,1.0
CharlsonIndex_mean,CharlsonIndex_mean,1.0
pcg5,pcg5,1.0
CharlsonIndex_range,CharlsonIndex_range,1.0
CharlsonIndex_std,CharlsonIndex_std,1.0
pcg1,pcg1,1.0
pcg2,pcg2,1.0
pcg3,pcg3,1.0
pcg4,pcg4,1.0
AAFC_MISS,AAFC_MISS,1.0
pcg27,pcg27,1.0
MemberID,MemberID,1.0
DSFS_max,DSFS_range,0.9990732252086932
DSFS_range,DSFS_max,0.9990732252086932
sp3,ps2,0.9978873598053889
ps2,sp3,0.9978873598053889
no_Claims,LOS_TOT_UNKNOWN_count,0.9964082062913978
LOS_TOT_UNKNOWN_count,no_Claims,0.9964082062913978
DSFS_range,DSFS_std,0.9584798540426823
DSFS_std,DSFS_range,0.9584798540426823
DSFS_std,DSFS_max,0.9583877539805652
DSFS_max,DSFS_std,0.9583877539805652
CharlsonIndex_std,CharlsonIndex_range,0.9512622039350186
CharlsonIndex_range,CharlsonIndex_std,0.9512622039350186
no_Vendors,no_Providers,0.9442553193169629
no_Providers,no_Vendors,0.9442553193169629
LengthOfStay_std,LengthOfStay_max,0.9427096594289791
LengthOfStay_max,LengthOfStay_std,0.9427096594289791
DrugCount_mean,DrugCount_max,0.9362476897047698
DrugCount_max,DrugCount_mean,0.9362476897047698
no_lab_instances,pg4,0.9281920457076
pg4,no_lab_instances,0.9281920457076
LOS_TOT_UNKNOWN_count,DSFS_sum,0.9249661962899204
DSFS_sum,LOS_TOT_UNKNOWN_count,0.9249661962899204
DSFS_sum,no_Claims,0.9223378712740996
no_Claims,DSFS_sum,0.9223378712740996
pg4,ps2,0.9181771679522271
ps2,pg4,0.9181771679522271
sp3,pg4,0.916281153612004
pg4,sp3,0.916281153612004
CharlsonIndex_max,CharlsonIndex_mean,0.9158610992689549
CharlsonIndex_mean,CharlsonIndex_max,0.9158610992689549
sp3,pg7,0.9103807260958305
pg7,sp3,0.9103807260958305
ps2,pg7,0.910223787142055
pg7,ps2,0.910223787142055
DSFS_mean,DSFS_max,0.9052960408858363
DSFS_max,DSFS_mean,0.9052960408858363
LabCount_max,LabCount_mean,0.9033995116961092
LabCount_mean,LabCount_max,0.9033995116961092
DSFS_range,DSFS_mean,0.9021590988545614
DSFS_mean,DSFS_range,0.9021590988545614
LabCount_mean,LabCount_min,0.894629803989902
LabCount_min,LabCount_mean,0.894629803989902
no_Specialties,no_Providers,0.8903264159138631
no_Providers,no_Specialties,0.8903264159138631
no_Claims,PayDelay_sum,0.8897463749842787
PayDelay_sum,no_Claims,0.8897463749842787
no_lab_instances,ps2,0.8869618860949733
ps2,no_lab_instances,0.8869618860949733
no_Specialties,no_Vendors,0.8865599542894967
no_Vendors,no_Specialties,0.8865599542894967
no_lab_instances,sp3,0.8851112871063556
sp3,no_lab_instances,0.8851112871063556
PayDelay_sum,LOS_TOT_UNKNOWN_count,0.8828128485770478
LOS_TOT_UNKNOWN_count,PayDelay_sum,0.8828128485770478
DrugCount_max,DrugCount_std,0.8808878859843036
DrugCount_std,DrugCount_max,0.8808878859843036
LengthOfStay_sum,LengthOfStay_mean,0.879989747237207
LengthOfStay_mean,LengthOfStay_sum,0.879989747237207
DSFS_std,DSFS_mean,0.8731927972061685
DSFS_mean,DSFS_std,0.8731927972061685
LengthOfStay_std,LengthOfStay_mean,0.8644250825288294
LengthOfStay_mean,LengthOfStay_std,0.8644250825288294
PayDelay_max,PayDelay_std,0.8621935803556723
PayDelay_std,PayDelay_max,0.8621935803556723
LengthOfStay_sum,LengthOfStay_std,0.8620351422510837
LengthOfStay_std,LengthOfStay_sum,0.8620351422510837
ps1,LOS_TOT_UNKNOWN_count,0.8598302340975194
LOS_TOT_UNKNOWN_count,ps1,0.8598302340975194
DrugCount_sum,DrugCount_mean,0.859487792162511
DrugCount_mean,DrugCount_sum,0.859487792162511
sp6,pg5,0.8566484848862678
pg5,sp6,0.8566484848862678
DrugCount_sum,DrugCount_max,0.8509799662918055
DrugCount_max,DrugCount_sum,0.8509799662918055
no_drug_instances,DrugCount_sum,0.8497043409535925
DrugCount_sum,no_drug_instances,0.8497043409535925
no_Claims,ps1,0.8490971265498296
ps1,no_Claims,0.8490971265498296
pg2,no_Claims,0.8478856036397463
no_Claims,pg2,0.8478856036397463
pg2,LOS_TOT_UNKNOWN_count,0.847820346010582
LOS_TOT_UNKNOWN_count,pg2,0.847820346010582
DrugCount_mean,DrugCount_min,0.8447810494522675
DrugCount_min,DrugCount_mean,0.8447810494522675
no_Specialties,no_ProcedureGroups,0.8435403849437199
no_ProcedureGroups,no_Specialties,0.8435403849437199
LabCount_sum,no_lab_instances,0.8362918768914198
no_lab_instances,LabCount_sum,0.8362918768914198
ps1,pg2,0.833267228899757
pg2,ps1,0.833267228899757
no_Providers,no_Claims,0.8230967174140823
no_Claims,no_Providers,0.8230967174140823
no_Vendors,no_ProcedureGroups,0.8199466201318101
no_ProcedureGroups,no_Vendors,0.8199466201318101
no_drug_instances,DrugCount_max,0.8159702430842968
DrugCount_max,no_drug_instances,0.8159702430842968
no_ProcedureGroups,no_Providers,0.8041384296253926
no_Providers,no_ProcedureGroups,0.8041384296253926
ps1,DSFS_sum,0.8035521375243716
DSFS_sum,ps1,0.8035521375243716
no_Providers,LOS_TOT_UNKNOWN_count,0.8034961705129225
LOS_TOT_UNKNOWN_count,no_Providers,0.8034961705129225
LabCount_max,LabCount_sum,0.8032611017074047
LabCount_sum,LabCount_max,0.8032611017074047
no_PrimaryConditionGroups,no_Claims,0.8006254451589261
no_Claims,no_PrimaryConditionGroups,0.8006254451589261
CharlsonIndex_min,CharlsonIndex_mean,0.800602309467038
CharlsonIndex_mean,CharlsonIndex_min,0.800602309467038
LabCount_sum,pg4,0.800370777111209
pg4,LabCount_sum,0.800370777111209
PayDelay_sum,DSFS_sum,0.8001856772169667
DSFS_sum,PayDelay_sum,0.8001856772169667
pg2,PayDelay_sum,0.7957285008651992
PayDelay_sum,pg2,0.7957285008651992
no_PrimaryConditionGroups,LOS_TOT_UNKNOWN_count,0.7953361464365368
LOS_TOT_UNKNOWN_count,no_PrimaryConditionGroups,0.7953361464365368
no_Providers,no_PrimaryConditionGroups,0.7950192144972613
no_PrimaryConditionGroups,no_Providers,0.7950192144972613
no_PlaceSvcs,no_Vendors,0.7928031061972953
no_Vendors,no_PlaceSvcs,0.7928031061972953
DSFS_sum,pg2,0.7907280492119848
pg2,DSFS_sum,0.7907280492119848
no_ProcedureGroups,no_PlaceSvcs,0.7842066263102512
no_PlaceSvcs,no_ProcedureGroups,0.7842066263102512
no_Providers,no_PlaceSvcs,0.7816014123434084
no_PlaceSvcs,no_Providers,0.7816014123434084
no_PrimaryConditionGroups,pg2,0.7773238334618114
pg2,no_PrimaryConditionGroups,0.7773238334618114
no_lab_instances,pg7,0.7768776800473736
pg7,no_lab_instances,0.7768776800473736
no_Claims,no_Vendors,0.7763557483153478
no_Vendors,no_Claims,0.7763557483153478
no_Specialties,no_PlaceSvcs,0.775286488845031
no_PlaceSvcs,no_Specialties,0.775286488845031
PayDelay_sum,ps1,0.7746549713863291
ps1,PayDelay_sum,0.7746549713863291
LabCount_sum,ps2,0.7658976136900256
ps2,LabCount_sum,0.7658976136900256
pg4,pg7,0.7642634670484103
pg7,pg4,0.7642634670484103
sp3,LabCount_sum,0.7640620024450795
LabCount_sum,sp3,0.7640620024450795
no_Providers,PayDelay_sum,0.7567063525533463
PayDelay_sum,no_Providers,0.7567063525533463
no_Vendors,no_PrimaryConditionGroups,0.7542024184588935
no_PrimaryConditionGroups,no_Vendors,0.7542024184588935
no_Claims,no_Specialties,0.7535048340711119
no_Specialties,no_Claims,0.7535048340711119
LOS_TOT_UNKNOWN_count,no_Vendors,0.7524844537342888
no_Vendors,LOS_TOT_UNKNOWN_count,0.7524844537342888
pg2,no_Providers,0.750119251354582
no_Providers,pg2,0.750119251354582
no_Specialties,no_PrimaryConditionGroups,0.7461087673694292
no_PrimaryConditionGroups,no_Specialties,0.7461087673694292
DSFS_sum,no_PrimaryConditionGroups,0.7412467585532729
no_PrimaryConditionGroups,DSFS_sum,0.7412467585532729
CharlsonIndex_max,CharlsonIndex_range,0.7398492773762927
CharlsonIndex_range,CharlsonIndex_max,0.7398492773762927
no_Claims,no_ProcedureGroups,0.7396545093455033
no_ProcedureGroups,no_Claims,0.7396545093455033
no_lab_instances,LOS_TOT_UNKNOWN_count,0.739163202858162
LOS_TOT_UNKNOWN_count,no_lab_instances,0.739163202858162
PayDelay_sum,no_PrimaryConditionGroups,0.7386653805782813
no_PrimaryConditionGroups,PayDelay_sum,0.7386653805782813
no_Specialties,LOS_TOT_UNKNOWN_count,0.7382542845563625
LOS_TOT_UNKNOWN_count,no_Specialties,0.7382542845563625
DSFS_mean,DSFS_sum,0.7359491700711834
DSFS_sum,DSFS_mean,0.7359491700711834
ps1,no_PrimaryConditionGroups,0.7335315533743552
no_PrimaryConditionGroups,ps1,0.7335315533743552
no_drug_instances,DrugCount_mean,0.7294264206174484
DrugCount_mean,no_drug_instances,0.7294264206174484
no_Providers,DSFS_sum,0.7285826799163786
DSFS_sum,no_Providers,0.7285826799163786
no_lab_instances,no_Claims,0.728575894906948
no_Claims,no_lab_instances,0.728575894906948
LengthOfStay_max,LengthOfStay_sum,0.7285644955867259
LengthOfStay_sum,LengthOfStay_max,0.7285644955867259
DrugCount_std,no_drug_instances,0.7269990952071268
no_drug_instances,DrugCount_std,0.7269990952071268
LengthOfStay_max,LengthOfStay_mean,0.7196477464602189
LengthOfStay_mean,LengthOfStay_max,0.7196477464602189
LOS_TOT_UNKNOWN_count,no_ProcedureGroups,0.7167772038707735
no_ProcedureGroups,LOS_TOT_UNKNOWN_count,0.7167772038707735
no_drug_instances_MISS,DrugCount_mean,0.7156970490940057
DrugCount_mean,no_drug_instances_MISS,0.7156970490940057
LOS_TOT_UNKNOWN_count,pg4,0.7155198726918764
pg4,LOS_TOT_UNKNOWN_count,0.7155198726918764
DSFS_range,DSFS_sum,0.7154733670496483
DSFS_sum,DSFS_range,0.7154733670496483
DSFS_sum,no_lab_instances,0.7152650807070734
no_lab_instances,DSFS_sum,0.7152650807070734
LabCount_max,no_lab_instances_MISS,0.7140239007161158
no_lab_instances_MISS,LabCount_max,0.7140239007161158
DSFS_sum,DSFS_max,0.7138854733064224
DSFS_max,DSFS_sum,0.7138854733064224
no_Providers,sp6,0.7119389165849115
sp6,no_Providers,0.7119389165849115
no_drug_instances_MISS,DrugCount_max,0.708665492459812
DrugCount_max,no_drug_instances_MISS,0.708665492459812
no_ProcedureGroups,no_PrimaryConditionGroups,0.7076700093023717
no_PrimaryConditionGroups,no_ProcedureGroups,0.7076700093023717
DrugCount_mean,DrugCount_std,0.7062397744397713
DrugCount_std,DrugCount_mean,0.7062397744397713
no_Claims,pg4,0.7048661798223936
pg4,no_Claims,0.7048661798223936
LabCount_sum,LOS_TOT_UNKNOWN_count,0.7025131419208835
LOS_TOT_UNKNOWN_count,LabCount_sum,0.7025131419208835
pg2,sp2,0.702087884506071
sp2,pg2,0.702087884506071
pg12,pcg34,0.7010895379837683
pcg34,pg12,0.7010895379837683
LabCount_std,LabCount_sum,0.6998253167370653
LabCount_sum,LabCount_std,0.6998253167370653
no_Providers,pg5,0.6993795708790058
pg5,no_Providers,0.6993795708790058
LabCount_mean,no_lab_instances_MISS,0.6992118323784718
no_lab_instances_MISS,LabCount_mean,0.6992118323784718
no_Providers,ps1,0.6990250812650748
ps1,no_Providers,0.6990250812650748
sp8,ps5,0.6962394648766548
ps5,sp8,0.6962394648766548
PayDelay_sum,no_Specialties,0.6938183719548859
no_Specialties,PayDelay_sum,0.6938183719548859
CharlsonIndex_max,CharlsonIndex_std,0.6931116083065268
CharlsonIndex_std,CharlsonIndex_max,0.6931116083065268
LabCount_sum,no_Claims,0.6921400274856958
no_Claims,LabCount_sum,0.6921400274856958
DrugCount_std,DrugCount_sum,0.6915426893645322
DrugCount_sum,DrugCount_std,0.6915426893645322
no_Claims,sp2,0.6898302699300395
sp2,no_Claims,0.6898302699300395
no_Vendors,pg2,0.6885121611733954
pg2,no_Vendors,0.6885121611733954
DrugCount_min,DrugCount_max,0.6870274327930277
DrugCount_max,DrugCount_min,0.6870274327930277
pg3,ps1,0.6869033269899282
ps1,pg3,0.6869033269899282
no_Vendors,PayDelay_sum,0.6853431724492788
PayDelay_sum,no_Vendors,0.6853431724492788
LabCount_max,LabCount_std,0.6835061463602953
LabCount_std,LabCount_max,0.6835061463602953
sp2,LOS_TOT_UNKNOWN_count,0.6807099871415018
LOS_TOT_UNKNOWN_count,sp2,0.6807099871415018
LOS_TOT_UNKNOWN_count,ps2,0.6799575178959204
ps2,LOS_TOT_UNKNOWN_count,0.6799575178959204
sp3,LOS_TOT_UNKNOWN_count,0.6782457733005445
LOS_TOT_UNKNOWN_count,sp3,0.6782457733005445
no_Vendors,DSFS_sum,0.6781710228834834
DSFS_sum,no_Vendors,0.6781710228834834
sexMALE,sexFEMALE,0.678117574116868
sexFEMALE,sexMALE,0.678117574116868
DSFS_sum,pg4,0.6765761492550731
pg4,DSFS_sum,0.6765761492550731
PayDelay_sum,no_ProcedureGroups,0.6747952133231314
no_ProcedureGroups,PayDelay_sum,0.6747952133231314
DSFS_range,LOS_TOT_UNKNOWN_count,0.6726204693332954
LOS_TOT_UNKNOWN_count,DSFS_range,0.6726204693332954
no_drug_instances_MISS,DrugCount_min,0.6724199658181523
DrugCount_min,no_drug_instances_MISS,0.6724199658181523
DSFS_range,no_Claims,0.670462394657252
no_Claims,DSFS_range,0.670462394657252
LOS_TOT_UNKNOWN_count,DSFS_max,0.6684199697478059
DSFS_max,LOS_TOT_UNKNOWN_count,0.6684199697478059
no_PrimaryConditionGroups,DSFS_range,0.6680292188709559
DSFS_range,no_PrimaryConditionGroups,0.6680292188709559
LabCount_sum,pg7,0.6673786986582223
pg7,LabCount_sum,0.6673786986582223
no_drug_instances,no_drug_instances_MISS,0.6668015886676468
no_drug_instances_MISS,no_drug_instances,0.6668015886676468
PayDelay_sum,sp2,0.6655117561459222
sp2,PayDelay_sum,0.6655117561459222
ps2,no_Claims,0.6654268878109554
no_Claims,ps2,0.6654268878109554
no_Claims,DSFS_max,0.6653801143932971
DSFS_max,no_Claims,0.6653801143932971
LOS_TOT_KNOWN_count,pg8,0.6645619294701127
pg8,LOS_TOT_KNOWN_count,0.6645619294701127
sp3,no_Claims,0.6635358068006227
no_Claims,sp3,0.6635358068006227
LabCount_sum,DSFS_sum,0.6635281232265193
DSFS_sum,LabCount_sum,0.6635281232265193
DSFS_max,no_PrimaryConditionGroups,0.6623073227887399
no_PrimaryConditionGroups,DSFS_max,0.6623073227887399
pg2,no_Specialties,0.6614681774825613
no_Specialties,pg2,0.6614681774825613
PayDelay_mean,PayDelay_min,0.6597381237055181
PayDelay_min,PayDelay_mean,0.6597381237055181
no_Vendors,sp6,0.6594878462061627
sp6,no_Vendors,0.6594878462061627
no_Specialties,ps1,0.6563808737834181
ps1,no_Specialties,0.6563808737834181
pg5,no_Vendors,0.6557698799728754
no_Vendors,pg5,0.6557698799728754
no_Claims,no_PlaceSvcs,0.6530270850670171
no_PlaceSvcs,no_Claims,0.6530270850670171
no_Specialties,DSFS_sum,0.6526256744989137
DSFS_sum,no_Specialties,0.6526256744989137
DSFS_sum,ps2,0.6512384364107664
ps2,DSFS_sum,0.6512384364107664
DSFS_sum,sp3,0.6500201277133961
sp3,DSFS_sum,0.6500201277133961
pcg27,sp3,0.6479896527566847
sp3,pcg27,0.6479896527566847
no_PrimaryConditionGroups,no_PlaceSvcs,0.6475511025179219
no_PlaceSvcs,no_PrimaryConditionGroups,0.6475511025179219
ps2,pcg27,0.6473511008042279
pcg27,ps2,0.6473511008042279
LabCount_max,LabCount_min,0.645747029761253
LabCount_min,LabCount_max,0.645747029761253
no_Vendors,ps1,0.6453553638457962
ps1,no_Vendors,0.6453553638457962
CharlsonIndex_min,CharlsonIndex_max,0.6438419047285647
CharlsonIndex_max,CharlsonIndex_min,0.6438419047285647
no_Claims,pg5,0.6391424975759593
pg5,no_Claims,0.6391424975759593
DSFS_sum,sp2,0.6371087854648093
sp2,DSFS_sum,0.6371087854648093
pg7,LOS_TOT_UNKNOWN_count,0.6348187443619783
LOS_TOT_UNKNOWN_count,pg7,0.6348187443619783
LabCount_std,no_lab_instances,0.6341011799287978
no_lab_instances,LabCount_std,0.6341011799287978
pg5,LOS_TOT_UNKNOWN_count,0.6300088606519998
LOS_TOT_UNKNOWN_count,pg5,0.6300088606519998
PayDelay_max,PayDelay_sum,0.6273752049117327
PayDelay_sum,PayDelay_max,0.6273752049117327
pg2,DSFS_range,0.6270337515053392
DSFS_range,pg2,0.6270337515053392
DSFS_sum,no_ProcedureGroups,0.6262680017273421
no_ProcedureGroups,DSFS_sum,0.6262680017273421
ps1,DSFS_range,0.6262409762345292
DSFS_range,ps1,0.6262409762345292
no_PlaceSvcs,LOS_TOT_UNKNOWN_count,0.6251017498862864
LOS_TOT_UNKNOWN_count,no_PlaceSvcs,0.6251017498862864
pg7,no_Claims,0.6247718719989653
no_Claims,pg7,0.6247718719989653
ps1,DSFS_max,0.6238191853889151
DSFS_max,ps1,0.6238191853889151
ps1,sp2,0.6223539937912247
sp2,ps1,0.6223539937912247
LOS_TOT_UNKNOWN_count,pg3,0.6223345889296471
pg3,LOS_TOT_UNKNOWN_count,0.6223345889296471
DSFS_max,pg2,0.622299882878904
pg2,DSFS_max,0.622299882878904
PayDelay_max,PayDelay_mean,0.6219748240663251
PayDelay_mean,PayDelay_max,0.6219748240663251
no_Claims,pg3,0.620109270720608
pg3,no_Claims,0.620109270720608
pcg14,sp11,0.6179735924676727
sp11,pcg14,0.6179735924676727
pcg27,pg4,0.6154653804262977
pg4,pcg27,0.6154653804262977
no_PlaceSvcs,PayDelay_sum,0.6139941690772396
PayDelay_sum,no_PlaceSvcs,0.6139941690772396
LabCount_mean,LabCount_sum,0.6122113872142916
LabCount_sum,LabCount_mean,0.6122113872142916
pg5,no_Specialties,0.6121081707861501
no_Specialties,pg5,0.6121081707861501
ps1,no_ProcedureGroups,0.6120443094765224
no_ProcedureGroups,ps1,0.6120443094765224
no_Claims,sp6,0.6116637364691924
sp6,no_Claims,0.6116637364691924
DrugCount_min,DrugCount_sum,0.6067525803827157
DrugCount_sum,DrugCount_min,0.6067525803827157
no_PrimaryConditionGroups,sp2,0.6061739335844746
sp2,no_PrimaryConditionGroups,0.6061739335844746
no_Specialties,sp6,0.6059143421682994
sp6,no_Specialties,0.6059143421682994
no_ProcedureGroups,no_lab_instances_MISS,0.6035032879403031
no_lab_instances_MISS,no_ProcedureGroups,0.6035032879403031
pg7,DSFS_sum,0.601894990036574
DSFS_sum,pg7,0.601894990036574
sp6,LOS_TOT_UNKNOWN_count,0.60166420178135
LOS_TOT_UNKNOWN_count,sp6,0.60166420178135
no_PrimaryConditionGroups,sp6,0.6010072154636329
sp6,no_PrimaryConditionGroups,0.6010072154636329
no_Specialties,DSFS_range,0.6006189729773974
DSFS_range,no_Specialties,0.6006189729773974
no_Providers,sp2,0.6003595043062256
sp2,no_Providers,0.6003595043062256
DSFS_std,DSFS_sum,0.5946663667997778
DSFS_sum,DSFS_std,0.5946663667997778
PayDelay_sum,pg5,0.5934505289137156
pg5,PayDelay_sum,0.5934505289137156
pg2,no_ProcedureGroups,0.5932131552379967
no_ProcedureGroups,pg2,0.5932131552379967
no_Specialties,DSFS_max,0.5931681047549471
DSFS_max,no_Specialties,0.5931681047549471
DSFS_mean,LOS_TOT_UNKNOWN_count,0.5922464298900926
LOS_TOT_UNKNOWN_count,DSFS_mean,0.5922464298900926
DSFS_range,PayDelay_sum,0.5883348338458037
PayDelay_sum,DSFS_range,0.5883348338458037
DSFS_mean,no_Claims,0.5873263337494717
no_Claims,DSFS_mean,0.5873263337494717
DSFS_range,no_Providers,0.5868533284917813
no_Providers,DSFS_range,0.5868533284917813
ClaimsTruncated,LOS_TOT_UNKNOWN_count,0.5860217855145002
LOS_TOT_UNKNOWN_count,ClaimsTruncated,0.5860217855145002
DSFS_mean,no_PrimaryConditionGroups,0.585609798976431
no_PrimaryConditionGroups,DSFS_mean,0.585609798976431
LengthOfStay_std,LOS_TOT_KNOWN_count,0.5853720074740328
LOS_TOT_KNOWN_count,LengthOfStay_std,0.5853720074740328
no_lab_instances,PayDelay_sum,0.5837445316452433
PayDelay_sum,no_lab_instances,0.5837445316452433
PayDelay_sum,DSFS_max,0.5825881979187759
DSFS_max,PayDelay_sum,0.5825881979187759
no_ProcedureGroups,DSFS_range,0.5824642337182362
DSFS_range,no_ProcedureGroups,0.5824642337182362
pg7,pcg27,0.5819880578744187
pcg27,pg7,0.5819880578744187
pg4,LabCount_std,0.5802003873211345
LabCount_std,pg4,0.5802003873211345
no_lab_instances,LabCount_max,0.5797878864894266
LabCount_max,no_lab_instances,0.5797878864894266
DSFS_max,no_Providers,0.57842246173852
no_Providers,DSFS_max,0.57842246173852
PayDelay_sum,sp6,0.5774230526398136
sp6,PayDelay_sum,0.5774230526398136
LOS_TOT_KNOWN_count,LengthOfStay_max,0.5766132271264867
LengthOfStay_max,LOS_TOT_KNOWN_count,0.5766132271264867
pg14,sp7,0.5762392521519154
sp7,pg14,0.5762392521519154
pg3,PayDelay_sum,0.5757575980977387
PayDelay_sum,pg3,0.5757575980977387
no_Claims,ClaimsTruncated,0.5755157999834354
ClaimsTruncated,no_Claims,0.5755157999834354
no_ProcedureGroups,DSFS_max,0.5744057258178838
DSFS_max,no_ProcedureGroups,0.5744057258178838
LabCount_sum,PayDelay_sum,0.5693839214425572
PayDelay_sum,LabCount_sum,0.5693839214425572
no_PrimaryConditionGroups,pg5,0.5688203723522283
pg5,no_PrimaryConditionGroups,0.5688203723522283
DSFS_std,no_PrimaryConditionGroups,0.5679172965278448
no_PrimaryConditionGroups,DSFS_std,0.5679172965278448
DSFS_sum,pg3,0.5676861655626061
pg3,DSFS_sum,0.5676861655626061
DSFS_sum,ClaimsTruncated,0.5669921731531903
ClaimsTruncated,DSFS_sum,0.5669921731531903
no_ProcedureGroups,LabCount_max,0.5642587132832054
LabCount_max,no_ProcedureGroups,0.5642587132832054
DSFS_range,no_Vendors,0.5630268670347235
no_Vendors,DSFS_range,0.5630268670347235
LabCount_sum,no_PrimaryConditionGroups,0.5625811225960923
no_PrimaryConditionGroups,LabCount_sum,0.5625811225960923
no_Vendors,sp2,0.5621173172713181
sp2,no_Vendors,0.5621173172713181
no_lab_instances,pcg27,0.5615716939943486
pcg27,no_lab_instances,0.5615716939943486
ps1,pg5,0.5610107799654084
pg5,ps1,0.5610107799654084
pg2,no_PlaceSvcs,0.5600490018077061
no_PlaceSvcs,pg2,0.5600490018077061
PayDelay_sum,pg4,0.5588444244105808
pg4,PayDelay_sum,0.5588444244105808
LabCount_min,no_lab_instances_MISS,0.5581998168657069
no_lab_instances_MISS,LabCount_min,0.5581998168657069
no_lab_instances_MISS,no_lab_instances,0.5566630687356432
no_lab_instances,no_lab_instances_MISS,0.5566630687356432
no_Vendors,DSFS_max,0.5543300819641374
DSFS_max,no_Vendors,0.5543300819641374
